,Number of steps,Surface coverage,Schwoebel barrier,Desorption probability,Regime,Growth rate,Rms
5410,7.0,0.0644,0.707618,0.00779767,1.0,0.01063104968724372,0.45607115357454164
5411,7.0,0.0638,0.951477,0.34598271,0.0,0.007428894932694024,0.4524391548809861
5412,7.0,0.0648,0.199019,0.17558413,1.0,0.028201867818137268,0.45403703330859435
5413,7.0,0.0649,0.474858,3.24e-06,1.0,0.00628672118784731,0.454133524309282
5414,7.0,0.0652,0.936621,0.09553347,2.0,0.09413929930928841,0.8135698550526945
5415,7.0,0.0658,0.16517,3.89e-06,2.0,0.127474615247187,0.5863705625710536
5416,7.0,0.0664,0.989747,0.22951218,0.0,0.006598091681566562,0.45267592114267635
5417,7.0,0.0669,0.015825,0.33564792,1.0,0.034735776940170555,0.453089255619699
5418,7.0,0.0666,0.126876,0.17151363,0.0,0.008395614846454728,0.45195889413003026
5419,7.0,0.0665,0.246441,0.63344364,0.0,0.010305988545320433,0.4566632134265667
5420,7.0,0.0667,0.570604,3.72e-05,2.0,0.13092395793592265,0.6420145221581947
5421,7.0,0.067,0.686949,0.00522636,2.0,0.11915370396205353,0.651108490590782
5422,7.0,0.0671,0.698951,0.01824563,0.0,0.004943625224922522,0.45292401361784074
5423,7.0,0.0682,0.448693,0.00016322,0.0,0.0037561644618086826,0.45112145629616757
5424,7.0,0.0679,0.930394,0.00020769,2.0,0.5250765519656523,3.5317857559814305
5425,7.0,0.0693,0.216992,0.05254853,1.0,0.021911465391820754,0.4544239080385105
5426,7.0,0.0686,0.430466,0.00012871,1.0,0.006850262077487207,0.45471317497989283
5427,7.0,0.0688,0.606287,1.59e-06,0.0,0.0035862491707759738,0.4525183048503456
5428,7.0,0.0693,0.706403,1.98e-06,2.0,0.15561053217673784,0.759585459395849
5429,7.0,0.069,0.907522,0.00157378,1.0,0.008410161855269415,0.46672922887411
5430,7.0,0.0692,0.944846,0.00330996,2.0,0.4364917076711404,2.8757605075040185
5431,7.0,0.0705,0.439493,5.898e-05,2.0,0.1503535568192818,0.6187378530003581
5432,7.0,0.0703,0.474544,4.479e-05,1.0,0.006975068295314739,0.4563115416931641
5433,7.0,0.0705,0.705489,3.45e-05,0.0,0.003553729710703998,0.45236039554153373
5434,7.0,0.0705,0.801745,0.99986112,2.0,0.12584353744462345,0.6937003118462083
5435,7.0,0.0707,0.173496,0.01075681,2.0,0.1317492671332623,0.5937509802915285
5436,7.0,0.0717,0.769093,0.00471009,0.0,0.00422230267316186,0.45005018828165233
5437,7.0,0.0721,0.904503,0.07097369,0.0,0.005648298791824168,0.4470365199823734
5438,7.0,0.0727,0.576559,4.088e-05,0.0,0.003829833717457371,0.4502777680096564
5439,7.0,0.0737,0.133389,0.00036644,1.0,0.007726663750740214,0.45378619410667714
5440,7.0,0.074,0.200056,0.00097198,2.0,0.16962169280205106,0.5959148787808745
5441,7.0,0.0748,0.75505,1.01e-06,2.0,0.2219148196562386,0.9479724635820547
5442,7.0,0.0755,0.991453,0.77971927,2.0,0.14902855564484438,0.7320309753380988
5443,7.0,0.0764,0.162939,2.362e-05,0.0,0.004369263051202586,0.44981247902035276
5444,7.0,0.0759,0.428784,3.098e-05,1.0,0.007724572896262263,0.4550683092152386
5445,7.0,0.076,0.513371,0.0153543,1.0,0.016683128067772827,0.4584669609251141
5446,7.0,0.0761,0.584021,0.19202964,1.0,0.03486126157354679,0.457077502604964
5447,7.0,0.0759,0.723802,0.18200601,1.0,0.03338784309587391,0.4546071427435958
5448,7.0,0.077,0.129249,1.328e-05,1.0,0.0077569922622368875,0.45617706309406963
5449,7.0,0.077,0.210985,5.79e-06,1.0,0.007774175082281758,0.4562718957173161
5450,7.0,0.0773,0.578187,0.00049863,0.0,0.0042225139829229295,0.4516773106930727
5451,7.0,0.077,0.675056,0.98141536,0.0,0.012829082700323397,0.45098425578651175
5452,7.0,0.0775,0.689314,0.02522815,0.0,0.006066269499219853,0.45205234740815825
5453,7.0,0.0766,0.802072,0.00037788,0.0,0.0037008680338066766,0.4503281334438751
5454,7.0,0.0766,0.804368,1.57e-06,1.0,0.008638787895180355,0.465884561890194
5455,7.0,0.078,0.398284,0.48301062,0.0,0.011308575510631112,0.45018772604077417
5456,7.0,0.0782,0.835433,0.06684616,0.0,0.006487977052916555,0.45061778237350975
5457,7.0,0.0794,0.037902,2.47e-06,0.0,0.00457085256326299,0.451726640727154
5458,7.0,0.0793,0.373938,3.496e-05,1.0,0.008249077087936142,0.45770529447440617
5459,7.0,0.0789,0.915519,0.04249788,2.0,0.1640502551554243,0.8686894774088924
5460,7.0,0.0802,0.053768,0.00229103,2.0,0.2073388947689846,0.6074146469297602
5461,7.0,0.0803,0.12227,0.09587367,2.0,0.17119659557286918,0.7113354964934822
5462,7.0,0.0795,0.170009,2.59e-06,0.0,0.0045297027676862766,0.4525514053816713
5463,7.0,0.0804,0.290293,2.94e-06,1.0,0.008280172987512489,0.4574431405400572
5464,7.0,0.0796,0.355307,0.32309461,2.0,0.1730818678964331,0.7661511205995876
5465,7.0,0.0804,0.754964,4.67e-06,1.0,0.009358575670781667,0.464099985215167
5466,7.0,0.0797,0.826618,0.04571563,2.0,0.16641487811119143,0.7926198388429533
5467,7.0,0.0799,0.92626,0.01319266,1.0,0.016011296486367947,0.4642270519325853
5468,7.0,0.0804,0.932399,0.04334257,1.0,0.022366693346562914,0.4608628343365204
5469,7.0,0.0808,0.029031,0.00997374,0.0,0.0065943881999646565,0.45139906768117904
5470,7.0,0.081,0.865378,5.05e-06,2.0,0.48988753783112016,2.127483678003409
5471,7.0,0.0808,0.982568,0.08498179,1.0,0.026838853129840065,0.4598336517129405
5472,7.0,0.0816,0.035536,0.24132467,0.0,0.011032771786169786,0.4544314111329786
5473,7.0,0.0822,0.305989,0.00056427,2.0,0.2249040409010284,0.6322175533454565
5474,7.0,0.0824,0.604898,0.12794593,0.0,0.008786193135875963,0.45257867845415106
5475,7.0,0.0824,0.650616,0.00414771,0.0,0.0051300449204514,0.451813440647608
5476,7.0,0.0828,0.037211,0.01031605,1.0,0.016573591760574165,0.45734459259503696
5477,7.0,0.0829,0.10286,0.00911403,0.0,0.006583466821787269,0.45618619459204407
5478,7.0,0.083,0.182859,4.42e-06,1.0,0.008541563161955593,0.4559232041706915
5479,7.0,0.0832,0.242458,0.00060153,1.0,0.009414906404456278,0.45563168610879
5480,7.0,0.0832,0.510786,0.73358208,2.0,0.1906893204669563,0.7709551591255207
5481,7.0,0.0833,0.557184,0.00083248,1.0,0.010167347098926027,0.4597439346459837
5482,7.0,0.0843,0.51037,0.00029647,0.0,0.0045950864563877635,0.45040897924239354
5483,7.0,0.0854,0.692581,0.24611587,2.0,0.19965096743391833,0.7879709476963123
5484,7.0,0.0848,0.731543,2.437e-05,1.0,0.01033311404570195,0.46788543557466644
5485,7.0,0.0854,0.79069,7.997e-05,1.0,0.010831593772065152,0.4705175262654078
5486,7.0,0.0856,0.07464,5.54e-06,2.0,0.2519426596060439,0.6071427929301172
5487,7.0,0.0858,0.078033,2.92e-05,0.0,0.004941934746833964,0.4512766456288884
5488,7.0,0.0855,0.687091,0.00059561,1.0,0.010693074662900837,0.4637179589774726
5489,7.0,0.0859,0.754966,8.458e-05,2.0,0.33473337913046075,1.072815283451516
5490,7.0,0.086,0.842395,0.00391374,1.0,0.013734100163851777,0.46366350750810353
5491,7.0,0.0866,0.234528,0.00417362,2.0,0.2469384885737917,0.6146861339723121
5492,7.0,0.0874,0.852954,0.00020175,0.0,0.00400189547079989,0.45045854317396594
